Postalcode,Borough,Neighborhood
"M1A
","Not assigned
","Not assigned
"
"M1B
","Scarborough
","Malvern, Rouge"
"M1C
","Scarborough
","Rouge Hill, Port Union, Highland Creek"
"M1E
","Scarborough
","Guildwood, Morningside, West Hill"
"M1G
","Scarborough
",Woburn
"M1H
","Scarborough
",Cedarbrae
"M1J
","Scarborough
",Scarborough Village
"M1K
","Scarborough
","Kennedy Park, Ionview, East Birchmount Park"
"M1L
","Scarborough
","Golden Mile, Clairlea, Oakridge"
"M1M
","Scarborough
","Cliffside, Cliffcrest, Scarborough Village West"
"M1N
","Scarborough
","Birch Cliff, Cliffside West"
"M1P
","Scarborough
","Dorset Park, Wexford Heights, Scarborough Town Centre"
"M1R
","Scarborough
","Wexford, Maryvale"
"M1S
","Scarborough
",Agincourt
"M1T
","Scarborough
","Clarks Corners, Tam O'Shanter, Sullivan"
"M1V
","Scarborough
","Milliken, Agincourt North, Steeles East, L'Amoreaux East"
"M1W
","Scarborough
","Steeles West, L'Amoreaux West"
"M1X
","Scarborough
",Upper Rouge
"M1Y
","Not assigned
","Not assigned
"
"M1Z
","Not assigned
","Not assigned
"
"M2A
","Not assigned
","Not assigned
"
"M2B
","Not assigned
","Not assigned
"
"M2C
","Not assigned
","Not assigned
"
"M2E
","Not assigned
","Not assigned
"
"M2G
","Not assigned
","Not assigned
"
"M2H
","North York
",Hillcrest Village
"M2J
","North York
","Fairview, Henry Farm, Oriole"
"M2K
","North York
",Bayview Village
"M2L
","North York
","York Mills, Silver Hills"
"M2M
","North York
","Willowdale, Newtonbrook"
"M2N
","North York
","Willowdale, Willowdale East"
"M2P
","North York
",York Mills West
"M2R
","North York
","Willowdale, Willowdale West"
"M2S
","Not assigned
","Not assigned
"
"M2T
","Not assigned
","Not assigned
"
"M2V
","Not assigned
","Not assigned
"
"M2W
","Not assigned
","Not assigned
"
"M2X
","Not assigned
","Not assigned
"
"M2Y
","Not assigned
","Not assigned
"
"M2Z
","Not assigned
","Not assigned
"
"M3A
","North York
",Parkwoods
"M3B
","North York
",Don Mills
"M3C
","North York
",Don Mills
"M3E
","Not assigned
","Not assigned
"
"M3G
","Not assigned
","Not assigned
"
"M3H
","North York
","Bathurst Manor, Wilson Heights, Downsview North"
"M3J
","North York
","Northwood Park, York University"
"M3K
","North York
",Downsview
"M3L
","North York
",Downsview
"M3M
","North York
",Downsview
"M3N
","North York
",Downsview
"M3P
","Not assigned
","Not assigned
"
"M3R
","Not assigned
","Not assigned
"
"M3S
","Not assigned
","Not assigned
"
"M3T
","Not assigned
","Not assigned
"
"M3V
","Not assigned
","Not assigned
"
"M3W
","Not assigned
","Not assigned
"
"M3X
","Not assigned
","Not assigned
"
"M3Y
","Not assigned
","Not assigned
"
"M3Z
","Not assigned
","Not assigned
"
"M4A
","North York
",Victoria Village
"M4B
","East York
","Parkview Hill, Woodbine Gardens"
"M4C
","East York
",Woodbine Heights
"M4E
","East Toronto
",The Beaches
"M4G
","East York
",Leaside
"M4H
","East York
",Thorncliffe Park
"M4J
","East York
","East Toronto, Broadview North (Old East York)"
"M4K
","East Toronto
","The Danforth West, Riverdale"
"M4L
","East Toronto
","India Bazaar, The Beaches West"
"M4M
","East Toronto
",Studio District
"M4N
","Central Toronto
",Lawrence Park
"M4P
","Central Toronto
",Davisville North
"M4R
","Central Toronto
","North Toronto West,  Lawrence Park"
"M4S
","Central Toronto
",Davisville
"M4T
","Central Toronto
","Moore Park, Summerhill East"
"M4V
","Central Toronto
","Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park"
"M4W
","Downtown Toronto
",Rosedale
"M4X
","Downtown Toronto
","St. James Town, Cabbagetown"
"M4Y
","Downtown Toronto
",Church and Wellesley
"M4Z
","Not assigned
","Not assigned
"
"M5A
","Downtown Toronto
","Regent Park, Harbourfront"
"M5B
","Downtown Toronto
","Garden District, Ryerson"
"M5C
","Downtown Toronto
",St. James Town
"M5E
","Downtown Toronto
",Berczy Park
"M5G
","Downtown Toronto
",Central Bay Street
"M5H
","Downtown Toronto
","Richmond, Adelaide, King"
"M5J
","Downtown Toronto
","Harbourfront East, Union Station, Toronto Islands"
"M5K
","Downtown Toronto
","Toronto Dominion Centre, Design Exchange"
"M5L
","Downtown Toronto
","Commerce Court, Victoria Hotel"
"M5M
","North York
","Bedford Park, Lawrence Manor East"
"M5N
","Central Toronto
",Roselawn
"M5P
","Central Toronto
","Forest Hill North & West, Forest Hill Road Park"
"M5R
","Central Toronto
","The Annex, North Midtown, Yorkville"
"M5S
","Downtown Toronto
","University of Toronto, Harbord"
"M5T
","Downtown Toronto
","Kensington Market, Chinatown, Grange Park"
"M5V
","Downtown Toronto
","CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport"
"M5W
","Downtown Toronto
",Stn A PO Boxes
"M5X
","Downtown Toronto
","First Canadian Place, Underground city"
"M5Y
","Not assigned
","Not assigned
"
"M5Z
","Not assigned
","Not assigned
"
"M6A
","North York
","Lawrence Manor, Lawrence Heights"
"M6B
","North York
",Glencairn
"M6C
","York
",Humewood-Cedarvale
"M6E
","York
",Caledonia-Fairbanks
"M6G
","Downtown Toronto
",Christie
"M6H
","West Toronto
","Dufferin, Dovercourt Village"
"M6J
","West Toronto
","Little Portugal, Trinity"
"M6K
","West Toronto
","Brockton, Parkdale Village, Exhibition Place"
"M6L
","North York
","North Park, Maple Leaf Park, Upwood Park"
"M6M
","York
","Del Ray, Mount Dennis, Keelsdale and Silverthorn"
"M6N
","York
","Runnymede, The Junction North"
"M6P
","West Toronto
","High Park, The Junction South"
"M6R
","West Toronto
","Parkdale, Roncesvalles"
"M6S
","West Toronto
","Runnymede, Swansea"
"M6T
","Not assigned
","Not assigned
"
"M6V
","Not assigned
","Not assigned
"
"M6W
","Not assigned
","Not assigned
"
"M6X
","Not assigned
","Not assigned
"
"M6Y
","Not assigned
","Not assigned
"
"M6Z
","Not assigned
","Not assigned
"
"M7A
","Downtown Toronto
","Queen's Park, Ontario Provincial Government"
"M7B
","Not assigned
","Not assigned
"
"M7C
","Not assigned
","Not assigned
"
"M7E
","Not assigned
","Not assigned
"
"M7G
","Not assigned
","Not assigned
"
"M7H
","Not assigned
","Not assigned
"
"M7J
","Not assigned
","Not assigned
"
"M7K
","Not assigned
","Not assigned
"
"M7L
","Not assigned
","Not assigned
"
"M7M
","Not assigned
","Not assigned
"
"M7N
","Not assigned
","Not assigned
"
"M7P
","Not assigned
","Not assigned
"
"M7R
","Mississauga
",Canada Post Gateway Processing Centre
"M7S
","Not assigned
","Not assigned
"
"M7T
","Not assigned
","Not assigned
"
"M7V
","Not assigned
","Not assigned
"
"M7W
","Not assigned
","Not assigned
"
"M7X
","Not assigned
","Not assigned
"
"M7Y
","East Toronto
","Business reply mail Processing Centre, South Central Letter Processing Plant Toronto"
"M7Z
","Not assigned
","Not assigned
"
"M8A
","Not assigned
","Not assigned
"
"M8B
","Not assigned
","Not assigned
"
"M8C
","Not assigned
","Not assigned
"
"M8E
","Not assigned
","Not assigned
"
"M8G
","Not assigned
","Not assigned
"
"M8H
","Not assigned
","Not assigned
"
"M8J
","Not assigned
","Not assigned
"
"M8K
","Not assigned
","Not assigned
"
"M8L
","Not assigned
","Not assigned
"
"M8M
","Not assigned
","Not assigned
"
"M8N
","Not assigned
","Not assigned
"
"M8P
","Not assigned
","Not assigned
"
"M8R
","Not assigned
","Not assigned
"
"M8S
","Not assigned
","Not assigned
"
"M8T
","Not assigned
","Not assigned
"
"M8V
","Etobicoke
","New Toronto, Mimico South, Humber Bay Shores"
"M8W
","Etobicoke
","Alderwood, Long Branch"
"M8X
","Etobicoke
","The Kingsway, Montgomery Road, Old Mill North"
"M8Y
","Etobicoke
","Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East"
"M8Z
","Etobicoke
","Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West"
"M9A
","Etobicoke
","Islington Avenue, Humber Valley Village"
"M9B
","Etobicoke
","West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale"
"M9C
","Etobicoke
","Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood"
"M9E
","Not assigned
","Not assigned
"
"M9G
","Not assigned
","Not assigned
"
"M9H
","Not assigned
","Not assigned
"
"M9J
","Not assigned
","Not assigned
"
"M9K
","Not assigned
","Not assigned
"
"M9L
","North York
",Humber Summit
"M9M
","North York
","Humberlea, Emery"
"M9N
","York
",Weston
"M9P
","Etobicoke
",Westmount
"M9R
","Etobicoke
","Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens"
"M9S
","Not assigned
","Not assigned
"
"M9T
","Not assigned
","Not assigned
"
"M9V
","Etobicoke
","South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens"
"M9W
","Etobicoke
","Northwest, West Humber - Clairville"
"M9X
","Not assigned
","Not assigned
"
"M9Y
","Not assigned
","Not assigned
"
"M9Z
","Not assigned
","Not assigned
"
